Cinebench R15 (Single-Core),
"Cinebench R15 is the successor of Cinebench 11.5 and is also based on the Cinema 4 Suite. Cinema 4 is a worldwide used software to create 3D forms. The single-core test only uses one CPU core, the amount of cores or hyperthreading ability doesn't count.?",
Intel Core i9-9900KF,219
8x 3.60 GHz (5.00 GHz) HT,
Intel Core i9-9900,219
8x 3.10 GHz (5.00 GHz) HT,
Intel Core i7-8086K,219
6x 3.70 GHz (5.00 GHz) HT,
Intel Core i9-9900K,219
8x 3.60 GHz (5.00 GHz) HT,
Intel Core i7-9700KF,214
8x 3.60 GHz (4.90 GHz),
Intel Core i7-9700K,214
8x 3.60 GHz (4.90 GHz),
AMD Ryzen 9 3900X,213
12x 3.80 GHz (4.60 GHz) HT,
Intel Core i9-8950HK,211
6x 2.90 GHz (4.80 GHz) HT,
Intel Core i7-8700K,208
6x 3.70 GHz (4.70 GHz) HT,
Intel Core i5-9600K,204
6x 3.70 GHz (4.60 GHz),
Intel Core i5-9600KF,204
6x 3.70 GHz (4.60 GHz),
AMD Ryzen 7 3700X,204
8x 3.60 GHz (4.40 GHz) HT,
Intel Core i7-8700,203
6x 3.20 GHz (4.60 GHz) HT,
Intel Core i7-7700K,200
4x 4.20 GHz (4.50 GHz) HT,
Intel Core i7-7740X,200
4x 4.30 GHz (4.50 GHz) HT,
Intel Core i7-7820X,197
8x 3.60 GHz (4.50 GHz) HT,
AMD Ryzen 5 3600,196
6x 3.60 GHz (4.20 GHz) HT,
Intel Xeon E5-1680 v3,193
8x 3.20 GHz (3.80 GHz) HT,
Intel Core i9-7900X,188
10x 3.30 GHz (4.30 GHz) HT,
Intel Core i9-7940X,188
14x 3.10 GHz (4.30 GHz) HT,
Intel Core i9-7920X,188
12x 2.90 GHz (4.30 GHz) HT,
Intel Xeon E3-1280 v6,187
4x 3.90 GHz (4.20 GHz) HT,
Intel Xeon E3-1270 v6,186
4x 3.80 GHz (4.20 GHz) HT,
Intel Core i5-9600,186
6x 3.10 GHz (4.60 GHz),
Intel Xeon E3-1275 v6,186
4x 3.80 GHz (4.20 GHz) HT,
Intel Core i7-7700,186
4x 3.60 GHz (4.20 GHz) HT,
Intel Xeon Gold 6144,184
8x 3.50 GHz (4.20 GHz) HT,
Intel Core i9-7960X,184
16x 2.80 GHz (4.20 GHz) HT,
Intel Core i9-7980XE,184
18x 2.60 GHz (4.20 GHz) HT,
Intel Core i7-7800X,184
6x 3.50 GHz (4.20 GHz) HT,
Intel Xeon Gold 6146,183
12x 3.20 GHz (4.20 GHz) HT,
Intel Core i5-8600K,183
6x 3.60 GHz (4.30 GHz),
Intel Core i7-8850H,182
6x 2.60 GHz (4.30 GHz) HT,
Intel Core i5-9500F,182
6x 3.00 GHz (4.40 GHz),
Intel Core i5-9500,182
6x 3.00 GHz (4.40 GHz),
Intel Xeon E3-1240 v6,182
4x 3.70 GHz (4.10 GHz) HT,
Intel Xeon E3-1245 v6,182
4x 3.70 GHz (4.10 GHz) HT,
Intel Core i3-7350K,181
2x 4.20 GHz HT,
AMD Ryzen Threadripper 2950X,180
16x 3.50 GHz (4.40 GHz) HT,
Intel Core i5-7640X,180
4x 4.00 GHz (4.20 GHz) HT,
Intel Core i7-8750H,180
6x 2.20 GHz (4.10 GHz) HT,
Intel Core i7-6700K,180
4x 4.00 GHz (4.20 GHz) HT,
Intel Core i5-7600K,179
4x 3.80 GHz (4.20 GHz),
Intel Core i7-8809G,179
4x 3.10 GHz (4.20 GHz) HT,
Intel Core i7-8565U,178
4x 1.80 GHz (4.60 GHz) HT,
Intel Core i5-8400H,178
4x 2.50 GHz (4.20 GHz) HT,
Intel Core i5-8600,178
6x 3.10 GHz (4.20 GHz),
Intel Core i5-9400,177
6x 2.90 GHz (4.10 GHz),
Intel Xeon E5-1660 v3,177
8x 3.00 GHz (3.50 GHz) HT,
AMD Ryzen 7 2700X,177
8x 3.70 GHz (4.00 GHz) HT,
Intel Core i5-9400F,177
6x 2.90 GHz (4.10 GHz),
Intel Core i7-5960X,177
8x 3.00 GHz (3.50 GHz) HT,
Intel Core i3-7320,176
2x 4.10 GHz HT,
AMD Ryzen Threadripper 2920X,176
12x 3.50 GHz (4.30 GHz) HT,
Intel Core i7-8700T,176
6x 2.40 GHz (4.00 GHz) HT,
AMD Ryzen 5 2600X,176
6x 3.60 GHz (4.20 GHz) HT,
Intel Core i7-8650U,175
4x 1.90 GHz (4.20 GHz) HT,
Intel Core i5-7600,175
4x 3.50 GHz (4.10 GHz),
AMD Ryzen Threadripper 2990WX,174
32x 3.00 GHz (4.20 GHz) HT,
Intel Core i7-8705G,174
4x 3.10 GHz (4.10 GHz) HT,
Intel Core i7-8706G,174
4x 3.10 GHz (4.10 GHz) HT,
Intel Core i5-8500,174
6x 3.00 GHz (4.10 GHz),
Intel Core i7-8709G,174
4x 3.10 GHz (4.10 GHz) HT,
Intel Core i7-7920HQ,174
4x 3.10 GHz (4.10 GHz) HT,
AMD Ryzen Threadripper 1920X,173
12x 3.50 GHz (4.00 GHz) HT,
Intel Xeon E3-1230 v6,173
4x 3.50 GHz (3.90 GHz) HT,
AMD Ryzen Threadripper 2970WX,173
24x 3.00 GHz (4.20 GHz) HT,
Intel Core i3-7300,172
2x 4.00 GHz HT,
Intel Xeon E5-2618L v3,172
8x 2.30 GHz (3.40 GHz) HT,
Intel Xeon E5-2640 v3,172
8x 2.60 GHz (3.40 GHz) HT,
Intel Xeon E3-1270 v5,172
4x 3.60 GHz (4.00 GHz) HT,
Intel Xeon E3-1275 v5,172
4x 3.60 GHz (4.00 GHz) HT,
Intel Xeon E3-1280 v5,172
4x 3.70 GHz (4.00 GHz) HT,
Intel Core i7-7567U,171
2x 3.50 GHz (4.00 GHz) HT,
Intel Core i5-8265U,171
4x 1.60 GHz (3.90 GHz) HT,
Intel Core i7-6700,171
4x 3.40 GHz (4.00 GHz) HT,
Intel Core i3-8350K,171
4x 4.00 GHz,
Intel Core i7-7660U,170
2x 2.50 GHz (4.00 GHz) HT,
Intel Core i5-8300H,169
4x 2.30 GHz (4.00 GHz) HT,
Intel Core i7-4790K,169
4x 4.00 GHz (4.40 GHz) HT,
Intel Core i7-7700T,168
4x 2.90 GHz (3.80 GHz) HT,
AMD Ryzen Threadripper 1950X,168
16x 3.40 GHz (4.00 GHz) HT,
Intel Xeon E3-1240 v5,168
4x 3.50 GHz (3.90 GHz) HT,
Intel Core i3-7100,168
2x 3.90 GHz HT,
Intel Xeon E3-1245 v5,168
4x 3.50 GHz (3.90 GHz) HT,
Intel Pentium G5600,168
2x 3.90 GHz HT,
AMD Ryzen Threadripper 1900X,168
8x 3.80 GHz (4.00 GHz) HT,
Intel Xeon E3-1260L v5,168
4x 2.90 GHz (3.90 GHz) HT,
Intel Core i7-8550U,167
4x 1.80 GHz (4.00 GHz) HT,
Intel Core i5-8350U,167
4x 1.70 GHz (3.60 GHz) HT,
Intel Core i5-6600,166
4x 3.30 GHz (3.90 GHz),
Intel Core i5-6600K,166
4x 3.50 GHz (3.90 GHz),
Intel Core i7-6785R,166
4x 3.30 GHz (3.90 GHz) HT,
Intel Core i7-7600U,166
2x 2.80 GHz (3.90 GHz) HT,
Intel Core i7-7820HQ,166
4x 2.90 GHz (3.90 GHz) HT,
Intel Core i7-7820HK,166
4x 2.90 GHz (3.90 GHz) HT,
Intel Xeon Platinum 8176,165
28x 2.10 GHz (3.80 GHz) HT,
Intel Xeon Platinum 8176M,165
28x 2.10 GHz (3.80 GHz) HT,
Intel Xeon Platinum 8180,165
28x 2.50 GHz (3.80 GHz) HT,
Intel Xeon Platinum 8176F,165
28x 2.10 GHz (3.80 GHz) HT,
Intel Xeon Platinum 8180M,165
28x 2.50 GHz (3.80 GHz) HT,
AMD Ryzen 7 2700,164
8x 3.20 GHz (3.80 GHz) HT,
AMD Ryzen 5 2600,164
6x 3.40 GHz (3.90 GHz) HT,
Intel Xeon E3-1230 v5,163
4x 3.40 GHz (3.80 GHz) HT,
AMD Ryzen 7 1800X,163
8x 3.60 GHz (4.00 GHz) HT,
Intel Pentium G5500,163
2x 3.80 GHz HT,
Intel Xeon E3-1285 v3,162
4x 3.60 GHz (4.00 GHz) HT,
Intel Xeon Gold 6136,162
12x 3.00 GHz (3.70 GHz) HT,
Intel Xeon Gold 6128,162
6x 3.40 GHz (3.70 GHz) HT,
Intel Core i5-8305G,162
4x 2.80 GHz (3.80 GHz) HT,
Intel Core i5-8259U,162
4x 2.30 GHz (3.80 GHz) HT,
Intel Xeon E5-2630 v3,162
8x 2.40 GHz (3.20 GHz) HT,
Intel Xeon Gold 6154,162
18x 3.00 GHz (3.70 GHz) HT,
Intel Xeon Gold 5122,162
4x 3.60 GHz (3.70 GHz) HT,
Intel Xeon Gold 6134M,162
8x 3.20 GHz (3.70 GHz) HT,
Intel Xeon E3-1280 v3,162
4x 3.60 GHz (4.00 GHz) HT,
Intel Xeon Platinum 8156,162
4x 3.60 GHz (3.70 GHz) HT,
Intel Xeon Platinum 8158,162
12x 3.00 GHz (3.70 GHz) HT,
Intel Xeon Gold 6134,162
8x 3.20 GHz (3.70 GHz) HT,
Intel Core i7-7700HQ,162
4x 2.80 GHz (3.80 GHz) HT,
Intel Core i5-7500,162
4x 3.40 GHz (3.80 GHz),
Intel Xeon Gold 6140,161
18x 2.30 GHz (3.70 GHz) HT,
Intel Xeon Gold 6138T,161
20x 2.00 GHz (3.70 GHz) HT,
Intel Xeon Gold 6142,161
16x 2.60 GHz (3.70 GHz) HT,
Intel Xeon Gold 6138,161
20x 2.00 GHz (3.70 GHz) HT,
Intel Xeon Gold 6142F,161
16x 2.60 GHz (3.70 GHz) HT,
Intel Xeon Gold 6142M,161
16x 2.60 GHz (3.70 GHz) HT,
Intel Core i5-8400,161
6x 2.80 GHz (3.80 GHz),
Intel Core i7-6920HQ,161
4x 2.90 GHz (3.80 GHz) HT,
