"Geekbench 3, 64bit (Single-Core)",
"Geekbench 3 is a cross plattform benchmark that heavily uses the systems memory. A fast memory will push the result a lot. The single-core test only uses one CPU core, the amount of cores or hyperthreading ability doesn't count.?",
,
Intel Core i9-9900KF,5870
8x 3.60 GHz (5.00 GHz) HT,
Intel Core i9-9900,5870
8x 3.10 GHz (5.00 GHz) HT,
Intel Core i9-9900K,5870
8x 3.60 GHz (5.00 GHz) HT,
Intel Core i7-9700KF,5472
8x 3.60 GHz (4.90 GHz),
Intel Core i7-9700K,5472
8x 3.60 GHz (4.90 GHz),
Intel Core i9-8950HK,5418
6x 2.90 GHz (4.80 GHz) HT,
Intel Core i7-8086K,5410
6x 3.70 GHz (5.00 GHz) HT,
Intel Core i7-8700K,5330
6x 3.70 GHz (4.70 GHz) HT,
Intel Core i7-8700,5204
6x 3.20 GHz (4.60 GHz) HT,
Intel Core i7-7740X,5133
4x 4.30 GHz (4.50 GHz) HT,
Intel Core i7-7700K,5130
4x 4.20 GHz (4.50 GHz) HT,
Intel Core i5-9600,5110
6x 3.10 GHz (4.60 GHz),
Intel Core i7-7820X,5103
8x 3.60 GHz (4.50 GHz) HT,
Intel Core i5-9600K,5065
6x 3.70 GHz (4.60 GHz),
Intel Core i5-9600KF,5065
6x 3.70 GHz (4.60 GHz),
Intel Core i5-9500F,4944
6x 3.00 GHz (4.40 GHz),
Intel Core i5-9500,4944
6x 3.00 GHz (4.40 GHz),
Intel Core i9-7920X,4876
12x 2.90 GHz (4.30 GHz) HT,
Intel Core i9-7940X,4876
14x 3.10 GHz (4.30 GHz) HT,
Intel Core i9-7900X,4876
10x 3.30 GHz (4.30 GHz) HT,
Intel Core i7-8850H,4854
6x 2.60 GHz (4.30 GHz) HT,
AMD Ryzen 7 2700X,4850
8x 3.70 GHz (4.00 GHz) HT,
AMD Ryzen 5 2600X,4823
6x 3.60 GHz (4.20 GHz) HT,
Intel Core i5-9400F,4820
6x 2.90 GHz (4.10 GHz),
Intel Core i5-9400,4820
6x 2.90 GHz (4.10 GHz),
AMD Ryzen Threadripper 2950X,4814
16x 3.50 GHz (4.40 GHz) HT,
Intel Xeon E3-1280 v6,4788
4x 3.90 GHz (4.20 GHz) HT,
Intel Xeon E3-1275 v6,4785
4x 3.80 GHz (4.20 GHz) HT,
Intel Xeon E3-1270 v6,4785
4x 3.80 GHz (4.20 GHz) HT,
Intel Core i7-7700,4779
4x 3.60 GHz (4.20 GHz) HT,
AMD Ryzen Threadripper 2970WX,4765
24x 3.00 GHz (4.20 GHz) HT,
AMD Ryzen Threadripper 2920X,4765
12x 3.50 GHz (4.30 GHz) HT,
Intel Core i7-7800X,4763
6x 3.50 GHz (4.20 GHz) HT,
Intel Core i9-7980XE,4763
18x 2.60 GHz (4.20 GHz) HT,
Intel Core i9-7960X,4763
16x 2.80 GHz (4.20 GHz) HT,
Intel Core i7-6700K,4757
4x 4.00 GHz (4.20 GHz) HT,
AMD Ryzen Threadripper 2990WX,4721
32x 3.00 GHz (4.20 GHz) HT,
Intel Xeon Gold 6144,4714
8x 3.50 GHz (4.20 GHz) HT,
Intel Xeon Gold 6146,4705
12x 3.20 GHz (4.20 GHz) HT,
Intel Xeon E3-1240 v6,4671
4x 3.70 GHz (4.10 GHz) HT,
Intel Xeon E3-1245 v6,4671
4x 3.70 GHz (4.10 GHz) HT,
Intel Core i7-8750H,4620
6x 2.20 GHz (4.10 GHz) HT,
AMD Ryzen Threadripper 1920X,4616
12x 3.50 GHz (4.00 GHz) HT,
AMD Ryzen Threadripper 1950X,4616
16x 3.40 GHz (4.00 GHz) HT,
Intel Core i5-8600K,4561
6x 3.60 GHz (4.30 GHz),
Intel Xeon E3-1275 v5,4536
